ID,Per,RAJ2000,DEJ2000,F555W,e_F555W,F814W,e_F814W,F350LP,e_F350LP,AmpV,AmpI
J121850.98+471834.7,32.258,184.712402,47.309639,24.002,0.086,23.062,0.115,,,0.504,0.316
J121853.80+471838.0,32.893,184.724182,47.310558,24.895,0.162,23.758,0.164,,,0.438,0.253
J121855.60+471906.3,33.126,184.731674,47.318409,25.052,0.14,23.622,0.126,,,0.422,0.289
J121904.22+471721.3,33.52,184.767593,47.289257,25.487,0.161,23.852,0.09,,,0.577,0.34
J121858.77+471800.4,33.735,184.744858,47.300117,24.312,0.169,23.301,0.229,,,0.4,0.294
J121903.49+471504.5,33.938,184.764526,47.251263,23.96,0.09,22.917,0.146,,,0.564,0.323
J121853.35+471843.3,33.95,184.72229,47.312027,24.326,0.146,23.174,0.15,,,0.555,0.35
J121852.73+471839.4,34.243,184.719727,47.310947,23.931,0.168,23.066,0.163,,,0.543,0.359
J121855.32+471912.0,34.574,184.730484,47.319988,24.272,0.122,23.199,0.14,,,0.592,0.313
J121853.24+471825.0,35.8,184.721832,47.306934,24.249,0.146,23.151,0.15,,,0.498,0.304
J121851.03+472117.8,35.907,184.712631,47.35495,24.51,0.054,23.365,0.052,24.4,0.041,0.553,0.32
J121851.53+471829.9,36.968,184.714706,47.308315,24.114,0.088,23.047,0.088,,,0.457,0.318
J121852.19+471840.9,38.484,184.717468,47.311359,23.885,0.158,22.961,0.146,,,0.348,0.195
J121906.84+471554.7,38.519,184.778519,47.26519,24.854,0.066,23.415,0.061,,,0.5,0.345
J121855.41+471914.3,38.845,184.730865,47.320652,23.495,0.106,22.535,0.124,,,0.293,0.182
J121857.36+471956.5,39.58,184.738998,47.332359,24.019,0.091,23.064,0.114,,,0.466,0.29
J121852.45+471843.7,39.59,184.718552,47.312134,24.148,0.134,22.968,0.076,,,0.587,0.344
J121858.10+471553.3,40.465,184.742081,47.264809,24.312,0.053,23.093,0.051,,,0.385,0.256
J121855.36+472017.7,40.619,184.730682,47.338249,23.952,0.085,22.881,0.085,,,0.512,0.328
J121858.68+471759.2,42.235,184.744492,47.299778,24.081,0.166,22.896,0.208,,,0.385,0.219
J121857.40+472002.4,42.373,184.739166,47.334007,23.829,0.125,22.664,0.113,,,0.478,0.301
J121855.53+471550.9,43.231,184.731369,47.264137,23.818,0.048,22.695,0.064,,,0.361,0.275
J121857.48+471612.0,43.407,184.739487,47.270004,24.883,0.075,23.324,0.061,,,0.496,0.302
J121858.21+472032.6,43.722,184.742523,47.342381,24.324,0.064,23.122,0.078,,,0.425,0.268
J121851.52+471833.9,48.004,184.714661,47.309425,24.008,0.054,22.898,0.071,,,0.373,0.262
J121852.60+472056.2,48.689,184.719147,47.348938,24.628,0.059,22.997,0.065,,,0.434,0.269
J121851.46+471845.8,50.169,184.714417,47.312717,23.354,0.149,22.397,0.113,,,0.337,0.234
J121854.55+471903.9,50.221,184.72728,47.31776,24.81,0.087,23.289,0.089,,,0.387,0.258
J121857.74+472048.4,55.104,184.74057,47.346786,25.199,0.071,23.562,0.107,,,0.36,0.329
J121852.48+471836.4,56.137,184.718674,47.310123,23.739,0.111,22.43,0.1,,,0.34,0.253
J121859.81+471803.1,56.529,184.749207,47.300854,23.289,0.17,22.014,0.126,,,0.325,0.256
J121903.95+471456.0,57.926,184.766464,47.248901,23.208,0.07,22.235,0.062,,,0.42,0.211
J121856.80+472007.6,59.215,184.736679,47.335434,23.773,0.105,22.321,0.092,,,0.392,0.219
J121852.10+471841.8,59.72,184.717072,47.311604,23.762,0.127,22.514,0.092,,,0.326,0.24
J121859.28+471550.3,60.246,184.746994,47.263973,24.861,0.07,23.305,0.07,,,0.288,0.202
J121912.23+471815.5,60.723,184.800964,47.30431,24.16,0.152,22.719,0.038,,,0.343,0.253
J121853.15+472240.2,66.638,184.721466,47.377846,24.263,0.086,22.923,0.022,23.997,0.025,0.228,0.163
J121854.80+471857.1,70.267,184.728348,47.315861,23.621,0.069,22.297,0.074,,,0.252,0.216
J121853.94+471819.6,75.499,184.724762,47.305443,22.892,0.047,21.811,0.07,,,0.241,0.186
